mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_beta_params,param_n_components,param_scale,param_spectral_radius,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
17.06034564971924,10.050024895283324,0.02325598398844401,0.00024656756665873144,"(0, 1.0)",4,0.01,0.3,"{'beta_params': (0, 1.0), 'n_components': 4, 'scale': 0.01, 'spectral_radius': 0.3}",-0.007703134972274403,-0.021842201041968032,-0.012548273609966411,-0.014031203208069616,0.005866720121469821,49
14.171525637308756,6.517089136781094,0.023624658584594727,0.0007936447302480541,"(0, 1.0)",4,0.01,0.6,"{'beta_params': (0, 1.0), 'n_components': 4, 'scale': 0.01, 'spectral_radius': 0.6}",-0.017362512636808363,-0.026272529406359837,-0.018383756675709736,-0.020672932906292647,0.003981402229484938,69
8.677778323491415,2.139216952337546,0.023380597432454426,0.00029052660175192226,"(0, 1.0)",4,0.01,0.9,"{'beta_params': (0, 1.0), 'n_components': 4, 'scale': 0.01, 'spectral_radius': 0.9}",-0.03366166695681637,-0.04162298238834315,-0.03217639226396753,-0.035820347203042356,0.0041476452394559535,77
13.646101633707682,1.4354497783341644,0.023630698521931965,0.0002608000185873928,"(0, 1.0)",4,1.0,0.3,"{'beta_params': (0, 1.0), 'n_components': 4, 'scale': 1.0, 'spectral_radius': 0.3}",-0.0077185749563725295,-0.021818975432112697,-0.012542548388678415,-0.01402669959238788,0.005851344688227233,48
11.990337689717611,3.0167040737250814,0.024025996526082356,0.0006525473197109091,"(0, 1.0)",4,1.0,0.6,"{'beta_params': (0, 1.0), 'n_components': 4, 'scale': 1.0, 'spectral_radius': 0.6}",-0.017384526546055244,-0.026350896060184745,-0.01832512872099793,-0.020686850442412637,0.0040234514771134225,71
6.6856911182403564,1.373594997767777,0.023439963658650715,0.00034333502414934854,"(0, 1.0)",4,1.0,0.9,"{'beta_params': (0, 1.0), 'n_components': 4, 'scale': 1.0, 'spectral_radius': 0.9}",-0.03386636001090486,-0.04181287218683519,-0.03190258675293526,-0.03586060631689177,0.0042845616728007,78
21.55225070317586,8.168201460972655,0.023734331130981445,0.00039183540401263416,"(0, 1.0)",4,10.0,0.3,"{'beta_params': (0, 1.0), 'n_components': 4, 'scale': 10.0, 'spectral_radius': 0.3}",-0.007672682005643119,-0.02195540400977481,-0.012571686871286058,-0.014066590962234662,0.005925936811603605,54
16.70087464650472,3.9878650510237983,0.02511437733968099,0.001921073540958824,"(0, 1.0)",4,10.0,0.6,"{'beta_params': (0, 1.0), 'n_components': 4, 'scale': 10.0, 'spectral_radius': 0.6}",-0.01739533503049096,-0.026192186330466345,-0.018409115633815646,-0.020665545664924317,0.003929779939762231,68
10.840114752451578,3.2353328465488724,0.023829301198323567,0.0005569681974339399,"(0, 1.0)",4,10.0,0.9,"{'beta_params': (0, 1.0), 'n_components': 4, 'scale': 10.0, 'spectral_radius': 0.9}",-0.03374087792986827,-0.042177614000083595,-0.032009724046108363,-0.035976071992020076,0.004441738841238239,80
142.06998133659363,36.912765261917215,0.02449639638264974,0.0005547625954777592,"(0, 1.0)",16,0.01,0.3,"{'beta_params': (0, 1.0), 'n_components': 16, 'scale': 0.01, 'spectral_radius': 0.3}",-0.006091028167110858,-0.019358365626520484,-0.012095279131863038,-0.012514890975164792,0.005424488694168499,15
128.13379502296448,32.25113209851507,0.02411206563313802,0.0002526044064229081,"(0, 1.0)",16,0.01,0.6,"{'beta_params': (0, 1.0), 'n_components': 16, 'scale': 0.01, 'spectral_radius': 0.6}",-0.005926485531596954,-0.019385104049355666,-0.012130846720308643,-0.012480812100420421,0.005500027874298882,7
75.63646507263184,13.760475410216102,0.023594141006469727,0.00023041187265783537,"(0, 1.0)",16,0.01,0.9,"{'beta_params': (0, 1.0), 'n_components': 16, 'scale': 0.01, 'spectral_radius': 0.9}",-0.00660773617542102,-0.020646152600696063,-0.012444172092416972,-0.01323268695617802,0.005758217357257777,28
138.45508543650308,31.17941060511827,0.02443067232767741,0.0009920172072459368,"(0, 1.0)",16,1.0,0.3,"{'beta_params': (0, 1.0), 'n_components': 16, 'scale': 1.0, 'spectral_radius': 0.3}",-0.006026729995859963,-0.01937514717971882,-0.012131871822456267,-0.012511249666011684,0.0054560673254472804,13
135.05868530273438,39.874460896550175,0.02419869105021159,0.00041089265404076143,"(0, 1.0)",16,1.0,0.6,"{'beta_params': (0, 1.0), 'n_components': 16, 'scale': 1.0, 'spectral_radius': 0.6}",-0.00590591886420626,-0.019369761756467,-0.012102548043615364,-0.012459409554762874,0.005502380028101408,5
82.49977795283,20.58704425505927,0.0244596004486084,0.0011115769139953685,"(0, 1.0)",16,1.0,0.9,"{'beta_params': (0, 1.0), 'n_components': 16, 'scale': 1.0, 'spectral_radius': 0.9}",-0.006664313615140448,-0.020577711292247378,-0.012505834179097583,-0.013249286362161801,0.0057043959418275735,29
147.36126844088236,42.27631689204353,0.024114370346069336,0.00040969530259155675,"(0, 1.0)",16,10.0,0.3,"{'beta_params': (0, 1.0), 'n_components': 16, 'scale': 10.0, 'spectral_radius': 0.3}",-0.006072282324250864,-0.019193820689499506,-0.01211008716219509,-0.012458730058648485,0.005362515340746266,4
137.3246429761251,37.740185674394084,0.023922522862752277,0.000494406070351567,"(0, 1.0)",16,10.0,0.6,"{'beta_params': (0, 1.0), 'n_components': 16, 'scale': 10.0, 'spectral_radius': 0.6}",-0.005902934510636329,-0.019362579533597653,-0.012228984630962286,-0.012498166225065423,0.005498172731855849,12
76.5928426583608,16.012153276106417,0.024047454198201496,0.00035594546220221523,"(0, 1.0)",16,10.0,0.9,"{'beta_params': (0, 1.0), 'n_components': 16, 'scale': 10.0, 'spectral_radius': 0.9}",-0.006645520318767951,-0.02051291149196744,-0.012495078284028396,-0.013217836698254597,0.005684359786973015,26
